Date,CustomerID,Country,TotalAmount,AvgAmount,CountOfInvoices
2010-12-01,12431.0,Australia,358.25,25.589285714285715,1
2010-12-01,12433.0,Norway,1919.14,26.28958904109589,1
2010-12-01,12583.0,France,855.86,42.793,1
2010-12-01,12662.0,Germany,261.48,17.432000000000002,1
2010-12-01,12748.0,United Kingdom,4.95,4.95,1
2010-12-01,12791.0,Netherlands,192.60000000000002,96.30000000000001,1
2010-12-01,12838.0,United Kingdom,390.79,6.623559322033898,1
2010-12-01,12868.0,United Kingdom,203.3,16.941666666666666,1
2010-12-01,12921.0,United Kingdom,322.40000000000003,21.493333333333336,1
2010-12-01,12947.0,United Kingdom,304.04,17.884705882352943,1
2010-12-01,13047.0,United Kingdom,366.63,21.566470588235294,3
2010-12-01,13065.0,United Kingdom,205.86,14.704285714285716,1
2010-12-01,13093.0,United Kingdom,799.4,61.49230769230769,1
2010-12-01,13255.0,United Kingdom,225.7,37.61666666666667,1
2010-12-01,13408.0,United Kingdom,1024.68,93.15272727272728,1
2010-12-01,13448.0,United Kingdom,443.96000000000004,24.664444444444445,2
2010-12-01,13468.0,United Kingdom,360.05,18.0025,2
2010-12-01,13576.0,United Kingdom,349.15000000000003,31.740909090909096,1
2010-12-01,13694.0,United Kingdom,842.12,140.35333333333332,1
2010-12-01,13705.0,United Kingdom,318.14,31.814,1
2010-12-01,13747.0,United Kingdom,79.6,79.6,1
2010-12-01,13748.0,United Kingdom,204.0,204.0,1
2010-12-01,13758.0,United Kingdom,362.45,21.320588235294117,1
2010-12-01,13767.0,United Kingdom,507.88,36.277142857142856,1
2010-12-01,13777.0,United Kingdom,6585.16,199.550303030303,7
2010-12-01,14001.0,United Kingdom,301.24,33.471111111111114,1
2010-12-01,14045.0,United Kingdom,326.4,326.4,1
2010-12-01,14078.0,United Kingdom,136.24,10.48,1
2010-12-01,14142.0,United Kingdom,311.81,14.173181818181819,1
2010-12-01,14237.0,United Kingdom,161.0,17.88888888888889,1
2010-12-01,14307.0,United Kingdom,783.11,16.314791666666668,1
2010-12-01,14496.0,United Kingdom,304.34000000000003,60.86800000000001,1
2010-12-01,14594.0,United Kingdom,255.0,8.225806451612904,1
2010-12-01,14606.0,United Kingdom,198.32,4.958,1
2010-12-01,14688.0,United Kingdom,444.98,23.42,1
2010-12-01,14696.0,United Kingdom,294.62,16.36777777777778,1
2010-12-01,14729.0,United Kingdom,313.49,4.415352112676056,1
2010-12-01,14849.0,United Kingdom,355.84000000000003,20.931764705882355,3
2010-12-01,14911.0,EIRE,555.38,26.446666666666665,2
2010-12-01,15012.0,United Kingdom,191.06,3.538148148148148,1
2010-12-01,15100.0,United Kingdom,350.4,350.4,1
2010-12-01,15165.0,United Kingdom,487.75,18.064814814814813,1
2010-12-01,15235.0,United Kingdom,79.5,15.9,1
2010-12-01,15291.0,United Kingdom,328.8,164.4,1
2010-12-01,15311.0,United Kingdom,449.98,12.85657142857143,1
2010-12-01,15350.0,United Kingdom,115.65,23.130000000000003,1
2010-12-01,15485.0,United Kingdom,950.09,41.30826086956522,1
2010-12-01,15513.0,United Kingdom,357.0,119.0,1
